column_name,dtype
PERIODO,int64
COLE_COD_DANE_ESTABLECIMIENTO,float64
DIA,float64
MES,float64
AÑO,float64
COLE_AREA_UBICACION_RURAL,bool
COLE_AREA_UBICACION_URBANO,bool
COLE_NATURALEZA_NO OFICIAL,bool
COLE_NATURALEZA_OFICIAL,bool
COLE_DEPTO_UBICACION_AMAZONAS,bool
COLE_DEPTO_UBICACION_ANTIOQUIA,bool
COLE_DEPTO_UBICACION_ARAUCA,bool
COLE_DEPTO_UBICACION_ATLANTICO,bool
COLE_DEPTO_UBICACION_BOGOTA,bool
COLE_DEPTO_UBICACION_BOGOTÁ,bool
COLE_DEPTO_UBICACION_BOLIVAR,bool
COLE_DEPTO_UBICACION_BOYACA,bool
COLE_DEPTO_UBICACION_CALDAS,bool
COLE_DEPTO_UBICACION_CAQUETA,bool
COLE_DEPTO_UBICACION_CASANARE,bool
COLE_DEPTO_UBICACION_CAUCA,bool
COLE_DEPTO_UBICACION_CESAR,bool
COLE_DEPTO_UBICACION_CHOCO,bool
COLE_DEPTO_UBICACION_CORDOBA,bool
COLE_DEPTO_UBICACION_CUNDINAMARCA,bool
COLE_DEPTO_UBICACION_GUAINIA,bool
COLE_DEPTO_UBICACION_GUAVIARE,bool
COLE_DEPTO_UBICACION_HUILA,bool
COLE_DEPTO_UBICACION_LA GUAJIRA,bool
COLE_DEPTO_UBICACION_MAGDALENA,bool
COLE_DEPTO_UBICACION_META,bool
COLE_DEPTO_UBICACION_NARIÑO,bool
COLE_DEPTO_UBICACION_NORTE SANTANDER,bool
COLE_DEPTO_UBICACION_PUTUMAYO,bool
COLE_DEPTO_UBICACION_QUINDIO,bool
COLE_DEPTO_UBICACION_RISARALDA,bool
COLE_DEPTO_UBICACION_SAN ANDRES,bool
COLE_DEPTO_UBICACION_SANTANDER,bool
COLE_DEPTO_UBICACION_SUCRE,bool
COLE_DEPTO_UBICACION_TOLIMA,bool
COLE_DEPTO_UBICACION_VALLE,bool
COLE_DEPTO_UBICACION_VAUPES,bool
COLE_DEPTO_UBICACION_VICHADA,bool
COLE_MCPIO_UBICACION_ABEJORRAL,bool
COLE_MCPIO_UBICACION_ABRIAQUÍ,bool
COLE_MCPIO_UBICACION_ACACÍAS,bool
COLE_MCPIO_UBICACION_ACANDÍ,bool
COLE_MCPIO_UBICACION_ACEVEDO,bool
COLE_MCPIO_UBICACION_ACHÍ,bool
COLE_MCPIO_UBICACION_AGRADO,bool
COLE_MCPIO_UBICACION_AGUA DE DIOS,bool
COLE_MCPIO_UBICACION_AGUACHICA,bool
COLE_MCPIO_UBICACION_AGUADA,bool
COLE_MCPIO_UBICACION_AGUADAS,bool
COLE_MCPIO_UBICACION_AGUAZUL,bool
COLE_MCPIO_UBICACION_AGUSTÍN CODAZZI,bool
COLE_MCPIO_UBICACION_AIPE,bool
COLE_MCPIO_UBICACION_ALBANIA,bool
COLE_MCPIO_UBICACION_ALBÁN,bool
COLE_MCPIO_UBICACION_ALCALÁ,bool
COLE_MCPIO_UBICACION_ALDANA,bool
COLE_MCPIO_UBICACION_ALEJANDRÍA,bool
COLE_MCPIO_UBICACION_ALGARROBO,bool
COLE_MCPIO_UBICACION_ALGECIRAS,bool
COLE_MCPIO_UBICACION_ALMAGUER,bool
COLE_MCPIO_UBICACION_ALPUJARRA,bool
COLE_MCPIO_UBICACION_ALTAMIRA,bool
COLE_MCPIO_UBICACION_ALTO BAUDÓ,bool
COLE_MCPIO_UBICACION_ALTOS DEL ROSARIO,bool
COLE_MCPIO_UBICACION_ALVARADO,bool
COLE_MCPIO_UBICACION_AMAGÁ,bool
COLE_MCPIO_UBICACION_AMALFI,bool
COLE_MCPIO_UBICACION_AMBALEMA,bool
COLE_MCPIO_UBICACION_ANAPOIMA,bool
COLE_MCPIO_UBICACION_ANCUYÁ,bool
COLE_MCPIO_UBICACION_ANDALUCÍA,bool
COLE_MCPIO_UBICACION_ANDES,bool
COLE_MCPIO_UBICACION_ANGELÓPOLIS,bool
COLE_MCPIO_UBICACION_ANGOSTURA,bool
COLE_MCPIO_UBICACION_ANOLAIMA,bool
COLE_MCPIO_UBICACION_ANORÍ,bool
COLE_MCPIO_UBICACION_ANSERMA,bool
COLE_MCPIO_UBICACION_ANSERMANUEVO,bool
COLE_MCPIO_UBICACION_ANZOÁTEGUI,bool
COLE_MCPIO_UBICACION_ANZÁ,bool
COLE_MCPIO_UBICACION_APARTADÓ,bool
COLE_MCPIO_UBICACION_APULO,bool
COLE_MCPIO_UBICACION_APÍA,bool
COLE_MCPIO_UBICACION_AQUITANIA,bool
COLE_MCPIO_UBICACION_ARACATACA,bool
COLE_MCPIO_UBICACION_ARANZAZU,bool
COLE_MCPIO_UBICACION_ARATOCA,bool
COLE_MCPIO_UBICACION_ARAUCA,bool
COLE_MCPIO_UBICACION_ARAUQUITA,bool
COLE_MCPIO_UBICACION_ARBELÁEZ,bool
COLE_MCPIO_UBICACION_ARBOLEDA,bool
COLE_MCPIO_UBICACION_ARBOLEDAS,bool
COLE_MCPIO_UBICACION_ARBOLETES,bool
COLE_MCPIO_UBICACION_ARCABUCO,bool
COLE_MCPIO_UBICACION_ARENAL,bool
COLE_MCPIO_UBICACION_ARGELIA,bool
